term,definition
"或いは (Aruiha)","接続詞の一つ。前の言葉と後の言葉を同等に扱う。"
"若しくは (Moshikuha)","接続詞の一つ。前の言葉と後の言葉を同等に扱う。或いはより、少しだけ柔らかい。"
"-phillia","愛好家、嗜好。"
"Stan","スラング。熱狂的なファン。"
"溺愛","理性を失うほどに、対象を盲目的に可愛がり、慈しむこと。相手の欠点すら気にならなくなる状態のこと。"
"狂愛","常軌を逸した、狂気的なまでの愛情。"
"Ardent","熱烈な。"
"たをやか","しなびやかで美しい様子。"
"Paranoia","妄想。"
"雅 (Miyabi)","洗練されていて上品なこと。都会的で優雅な様子。"
"Downbad","スラング。特定の誰かや何かに強く惹かれ、必死で惨めなほど執着している様子。"
"泡沫（うたかた）","水面に浮かぶ泡。消えやすく、儚いことの例え。"
"乱れ心地","心が乱れ、病気のように苦しい。"
"Sanitizer","無害化。"
"春嵐","春先に吹く強い南風で、雨混じりのこともある。思春期特有の、感情の嵐を指す場合がある。"
"執愛","一つの対象に深く執着し、決して手放そうとしない愛。単なる「好き」を超え、相手を自分の支配下や視界に留めておきたいという強い拘束力を伴う。精神的な「繋ぎ止め」"
"Thralldom"," 「奴隷状態」を指す、古風で重みのある言葉。自分の意志ではどうにもできないほど、相手の魅力に縛り付けられている状態"
"悒悒","思い悩み、心がふさぐ様子。どこか湿り気のある重い感情。"
"Deep end","プールの深い方に沈んだ＝「もう後戻りできないほど深くハマった」"
"我かの気","自他の区別がつかないほど。"
"渇愛","喉が渇いた時に水を求めるような、激しい欲望を伴う愛。"
"Irreversible","不可逆。もう元には戻れないこと。"
"Overdose","過剰摂取。愛しすぎて、あるいは受けすぎて毒になること。"
"心惑ふ","恋のあまりに心が千々に乱れ、判断がつかなくなること。平常心を失う。"
"Infatuated","のぼせ上った。心酔した。"
"比翼","二羽の鳥が翼を並べて飛ぶこと。転じて、男女の情愛が深く、片時も離れないこと。"
"朧げ","はっきりせず、ぼんやりしている様子"
"揺蕩う","ゆらゆらと揺れる、定まらない。心地よい不安定さ。"
"薄氷","春先に解け残った薄い氷。壊れそうで危ういものの象徴。"
"Really","本当に"
"Stay","留まる。食い止める。"
"帰依","優れたもの（愛する対象）を信じ、その力にすべてをゆだねてすがること。"
"Codependency","共依存。"
"Martyrdom","殉教。自分のすべてを捧げて、対象に尽くし抜くこと。"
